DATE_TIME,current_contract,next_contract,carry_contract
2008-10-31 05:00:00,20081200,20090200,20081000
2008-12-31 06:00:00,20090200,20090400,20081200
2009-03-02 06:00:00,20090400,20090600,20090200
2009-05-04 05:00:00,20090600,20090800,20090400
2009-07-06 05:00:00,20090800,20091000,20090600
2009-09-02 05:00:00,20091000,20091200,20090800
2009-11-02 06:00:00,20091200,20100200,20091000
2009-12-31 06:00:00,20100200,20100400,20091200
2010-03-02 06:00:00,20100400,20100600,20100200
2010-05-03 05:00:00,20100600,20100800,20100400
2010-07-05 22:00:00,20100800,20101000,20100600
2010-09-02 05:00:00,20101000,20101200,20100800
2010-11-01 05:00:00,20101200,20110200,20101000
2010-12-31 06:00:00,20110200,20110400,20101200
2011-03-02 06:00:00,20110400,20110600,20110200
2011-05-03 05:00:00,20110600,20110800,20110400
2011-07-05 05:00:00,20110800,20111000,20110600
2011-09-02 05:00:00,20111000,20111200,20110800
2011-11-01 05:00:00,20111200,20120200,20111000
2012-01-03 06:00:00,20120200,20120400,20111200
2012-03-02 06:00:00,20120400,20120600,20120200
2012-05-03 05:00:00,20120600,20120800,20120400
2012-07-03 05:00:00,20120800,20121000,20120600
2012-09-04 05:00:00,20121000,20121200,20120800
2012-10-31 05:00:00,20121200,20130200,20121000
2012-12-31 06:00:00,20130200,20130400,20121200
2013-03-04 06:00:00,20130400,20130600,20130200
2013-05-03 05:00:00,20130600,20130800,20130400
2013-07-03 05:00:00,20130800,20131000,20130600
2013-09-03 05:00:00,20131000,20131200,20130800
2013-10-31 05:00:00,20131200,20140200,20131000
2013-12-31 06:00:00,20140200,20140400,20131200
2014-03-03 06:00:00,20140400,20140600,20140200
2014-05-05 05:00:00,20140600,20140800,20140400
2014-07-03 05:00:00,20140800,20141000,20140600
2014-09-02 05:00:00,20141000,20141200,20140800
2014-10-31 05:00:00,20141200,20150200,20141000
2014-12-31 06:00:00,20150200,20150400,20141200
2015-03-02 06:00:00,20150400,20150600,20150200
2015-05-04 05:00:00,20150600,20150800,20150400
2015-07-06 05:00:00,20150800,20151000,20150600
2015-09-02 05:00:00,20151000,20151200,20150800
2015-11-02 06:00:00,20151200,20160200,20151000
2016-01-04 06:00:00,20160200,20160400,20151200
2016-03-02 06:00:00,20160400,20160600,20160200
2016-05-03 05:00:00,20160600,20160800,20160400
2016-07-05 05:00:00,20160800,20161000,20160600
2016-09-02 05:00:00,20161000,20161200,20160800
2016-10-31 05:00:00,20161200,20170200,20161000
2017-01-03 06:00:00,20170200,20170400,20161200
2017-03-02 06:00:00,20170400,20170600,20170200
2017-05-03 05:00:00,20170600,20170800,20170400
2017-07-03 05:00:00,20170800,20171000,20170600
2017-09-05 05:00:00,20171000,20171200,20170800
2017-10-31 05:00:00,20171200,20180200,20171000
2018-01-02 06:00:00,20180200,20180400,20171200
2018-03-02 06:00:00,20180400,20180600,20180200
2018-05-03 05:00:00,20180600,20180800,20180400
2018-07-03 05:00:00,20180800,20181000,20180600
2018-09-04 05:00:00,20181000,20181200,20180800
2018-10-31 05:00:00,20181200,20190200,20181000
2018-12-31 06:00:00,20190200,20190400,20181200
2019-03-04 06:00:00,20190400,20190600,20190200
2019-05-03 05:00:00,20190600,20190800,20190400
2019-07-03 05:00:00,20190800,20191000,20190600
2019-09-03 05:00:00,20191000,20191200,20190800
2019-11-01 05:00:00,20191200,20200200,20191000
2020-01-02 06:00:00,20200200,20200400,20191200
2020-03-02 06:00:00,20200400,20200600,20200200
2020-05-04 05:00:00,20200600,20200800,20200400
2020-07-06 05:00:00,20200800,20201000,20200600
2020-09-02 05:00:00,20201000,20201200,20200800
2020-11-02 06:00:00,20201200,20210200,20201000
2020-12-31 06:00:00,20210200,20210400,20201200
2021-03-02 06:00:00,20210400,20210600,20210200
2021-05-03 05:00:00,20210600,20210800,20210400
2021-07-06 05:00:00,20210800,20211000,20210600
2021-09-02 05:00:00,20211000,20211200,20210800
2021-11-01 05:00:00,20211200,20220200,20211000
2021-12-31 06:00:00,20220200,20220400,20211200
2022-03-02 06:00:00,20220400,20220600,20220200
2022-05-03 05:00:00,20220600,20220800,20220400
2022-07-05 05:00:00,20220800,20221000,20220600
2022-09-02 05:00:00,20221000,20221200,20220800
2022-10-31 05:00:00,20221200,20230200,20221000
2023-01-03 06:00:00,20230200,20230400,20221200
2023-03-02 06:00:00,20230400,20230600,20230200
2023-05-03 05:00:00,20230600,20230800,20230400
2023-07-03 05:00:00,20230800,20231000,20230600
2023-09-05 05:00:00,20231000,20231200,20230800
2023-11-01 05:00:00,20231200,20240200,20231000
2023-12-29 06:00:00,20240200,20240400,20231200
2024-02-29 06:00:00,20240400,20240600,20240200
2024-03-05 06:00:00,20240600,20240800,20240400
