DATE_TIME,current_contract,next_contract,carry_contract
2015-12-02 06:00:00,20160100,20160300,20160300
2016-02-01 06:00:00,20160300,20160500,20160500
2016-04-04 00:00:00,20160500,20160700,20160700
2016-05-31 00:00:00,20160700,20160800,20160800
2016-06-30 00:00:00,20160800,20160900,20160900
2016-08-02 05:00:00,20160900,20161100,20161100
2016-10-03 05:00:00,20161100,20170100,20170100
2016-12-01 06:00:00,20170100,20170300,20170300
2017-01-31 06:00:00,20170300,20170500,20170500
2017-04-03 00:00:00,20170500,20170700,20170700
2017-05-30 00:00:00,20170700,20170800,20170800
2017-06-30 00:00:00,20170800,20170900,20170900
2017-08-02 05:00:00,20170900,20171100,20171100
2017-10-03 05:00:00,20171100,20180100,20180100
2017-12-01 06:00:00,20180100,20180300,20180300
2018-01-31 06:00:00,20180300,20180500,20180500
2018-04-02 05:00:00,20180500,20180700,20180700
2018-05-30 03:00:00,20180700,20180800,20180800
2018-06-29 02:00:00,20180800,20180900,20180900
2018-08-02 05:00:00,20180900,20181100,20181100
2018-10-03 05:00:00,20181100,20190100,20190100
2018-12-03 01:00:00,20190100,20190300,20190300
2019-01-31 06:00:00,20190300,20190500,20190500
2019-04-02 05:00:00,20190500,20190700,20190700
2019-05-30 00:00:00,20190700,20190800,20190800
2019-07-01 00:00:00,20190800,20190900,20190900
2019-08-02 05:00:00,20190900,20191100,20191100
2019-10-03 05:00:00,20191100,20200100,20200100
2019-12-02 06:00:00,20200100,20200300,20200300
2020-02-03 01:00:00,20200300,20200500,20200500
2020-04-02 05:00:00,20200500,20200700,20200700
2020-05-29 01:00:00,20200700,20200800,20200800
2020-06-30 00:00:00,20200800,20200900,20200900
2020-08-03 00:00:00,20200900,20201100,20201100
2020-10-05 00:00:00,20201100,20210100,20210100
2020-12-01 06:00:00,20210100,20210300,20210300
2021-02-01 01:00:00,20210300,20210500,20210500
2021-04-05 00:00:00,20210500,20210700,20210700
2021-05-28 00:00:00,20210700,20210800,20210800
2021-06-30 00:00:00,20210800,20210900,20210900
2021-08-02 05:00:00,20210900,20211100,20211100
2021-10-04 00:00:00,20211100,20220100,20220100
2021-12-01 06:00:00,20220100,20220300,20220300
2022-01-31 06:00:00,20220300,20220500,20220500
2022-04-04 00:00:00,20220500,20220700,20220700
2022-05-31 00:00:00,20220700,20220800,20220800
2022-06-30 00:00:00,20220800,20220900,20220900
2022-08-02 05:00:00,20220900,20221100,20221100
2022-10-03 05:00:00,20221100,20230100,20230100
2022-12-01 06:00:00,20230100,20230300,20230300
2023-01-31 06:00:00,20230300,20230500,20230500
2023-04-03 00:00:00,20230500,20230700,20230700
2023-05-30 00:00:00,20230700,20230800,20230800
2023-06-30 00:00:00,20230800,20230900,20230900
2023-08-02 05:00:00,20230900,20231100,20231100
2023-10-03 05:00:00,20231100,20240100,20240100
2023-11-30 01:00:00,20240100,20240300,20240300
2024-01-29 01:00:00,20240300,20240500,20240500
2024-03-28 00:00:00,20240500,20240700,20240700
2024-04-03 05:00:00,20240700,20240800,20240800
