DATE_TIME,current_contract,next_contract,carry_contract
2017-10-20 00:00:00,20171200,20180100,20171100
2017-11-21 00:00:00,20180100,20180200,20171200
2017-12-22 01:00:00,20180200,20180300,20180100
2018-01-19 00:00:00,20180300,20180400,20180200
2018-02-19 00:00:00,20180400,20180500,20180300
2018-03-21 00:00:00,20180500,20180600,20180400
2018-04-20 00:00:00,20180600,20180700,20180500
2018-05-21 00:00:00,20180700,20180800,20180600
2018-06-21 00:00:00,20180800,20180900,20180700
2018-07-22 22:00:00,20180900,20181000,20180800
2018-08-21 00:00:00,20181000,20181100,20180900
2018-09-21 00:00:00,20181100,20181200,20181000
2018-10-21 22:00:00,20181200,20190100,20181100
2018-11-21 00:00:00,20190100,20190200,20181200
2018-12-21 00:00:00,20190200,20190300,20190100
2019-01-18 00:00:00,20190300,20190400,20190200
2019-02-19 00:00:00,20190400,20190500,20190300
2019-03-21 00:00:00,20190500,20190600,20190400
2019-04-21 22:00:00,20190600,20190700,20190500
2019-05-21 00:00:00,20190700,20190800,20190600
2019-06-21 00:00:00,20190800,20190900,20190700
2019-07-22 00:00:00,20190900,20191000,20190800
2019-08-21 00:00:00,20191000,20191100,20190900
2019-09-20 00:00:00,20191100,20191200,20191000
2019-10-21 00:00:00,20191200,20200100,20191100
2019-11-21 00:00:00,20200100,20200200,20191200
2019-12-22 23:00:00,20200200,20200300,20200100
2020-01-20 00:00:00,20200300,20200400,20200200
2020-02-20 00:00:00,20200400,20200500,20200300
2020-03-20 00:00:00,20200500,20200600,20200400
2020-04-21 00:00:00,20200600,20200700,20200500
2020-05-21 00:00:00,20200700,20200800,20200600
2020-06-21 22:00:00,20200800,20200900,20200700
2020-07-22 00:00:00,20200900,20201000,20200800
2020-08-21 00:00:00,20201000,20201100,20200900
2020-09-21 00:00:00,20201100,20201200,20201000
2020-10-21 00:00:00,20201200,20210100,20201100
2020-11-20 00:00:00,20210100,20210200,20201200
2020-12-22 00:00:00,20210200,20210300,20210100
2021-01-19 00:00:00,20210300,20210400,20210200
2021-02-19 00:00:00,20210400,20210500,20210300
2021-03-21 22:00:00,20210500,20210600,20210400
2021-04-21 00:00:00,20210600,20210700,20210500
2021-05-21 00:00:00,20210700,20210800,20210600
2021-06-21 00:00:00,20210800,20210900,20210700
2021-07-22 00:00:00,20210900,20211000,20210800
2021-08-20 00:00:00,20211000,20211100,20210900
2021-09-21 00:00:00,20211100,20211200,20211000
2021-10-21 00:00:00,20211200,20220100,20211100
2021-11-21 23:00:00,20220100,20220200,20211200
2021-12-22 00:00:00,20220200,20220300,20220100
2022-01-19 00:00:00,20220300,20220400,20220200
2022-02-18 00:00:00,20220400,20220500,20220300
2022-03-21 00:00:00,20220500,20220600,20220400
2022-04-21 00:00:00,20220600,20220700,20220500
2022-05-20 00:00:00,20220700,20220800,20220600
2022-06-21 00:00:00,20220800,20220900,20220700
2022-07-22 00:00:00,20220900,20221000,20220800
2022-08-21 22:00:00,20221000,20221100,20220900
2022-09-21 00:00:00,20221100,20221200,20221000
2022-10-21 00:00:00,20221200,20230100,20221100
2022-11-21 00:00:00,20230100,20230200,20221200
2022-12-22 00:00:00,20230200,20230300,20230100
2023-01-19 00:00:00,20230300,20230400,20230200
2023-02-19 23:00:00,20230400,20230500,20230300
2023-03-21 00:00:00,20230500,20230600,20230400
2023-04-21 00:00:00,20230600,20230700,20230500
2023-05-21 22:00:00,20230700,20230800,20230600
2023-06-21 00:00:00,20230800,20230900,20230700
2023-07-21 00:00:00,20230900,20231000,20230800
2023-08-21 00:00:00,20231000,20231100,20230900
2023-09-21 00:00:00,20231100,20231200,20231000
2023-10-20 00:00:00,20231200,20240100,20231100
2023-11-21 00:00:00,20240100,20240200,20231200
2023-12-22 00:00:00,20240200,20240300,20240100
2024-01-19 00:00:00,20240300,20240400,20240200
2024-02-20 00:00:00,20240400,20240500,20240300
2024-03-01 00:00:00,20240500,20240600,20240400
